TestReqID,種別,関連画面,関連機能,関連NFR,テスト内容,テストレベル,優先度,合格基準,自動化,備考,実装状況
TR-FR-001,FR,"P01,P02,P03,P04,P05,P10",(ナビゲーション),,起動後にトップバー/ボトムバーから各主要画面へ遷移でき、戻る導線が破綻しない。,Integration,Must,ボトムバー主要画面(P01/P02/P03/P04/P05)へ到達可能。トップバーからP10へ到達し、設定配下(P06/P07/P09)へ到達してP10へ戻れる。,Yes/Partial,遷移仕様は 03_画面遷移.md を根拠。,済
TR-FR-002,FR,"P10,P06,P07,P08,P09","F033,F034,F037,F039",,設定（P10）から各設定配下画面へ遷移し、設定変更が期待通りに反映される。,Integration,Must,設定変更後に主要画面で反映され、再起動後も保持される（NFR-DATA-001と整合）。,Yes/Partial,永続化はNFR-DATA-001で担保。,未
TR-FR-003,FR,P10,F037,,カラーテーマ変更後もアプリがクラッシュせず表示が継続する。,Widget,Must,テーマ変更後も例外が発生せず主要画面が表示される。,Yes,テーマ変更の自動テストを追加。,済
TR-FR-010,FR,P03,"F001,F003,F004,F006","NFR-REL-004,NFR-UX-001",支出の追加：日付/カテゴリ/属性/金額(整数)/メモを入力し保存できる。,Integration,Must,保存後、P02一覧・P04内訳・P05推移・P06CSVに反映される。,Yes/Partial,メモ機能は実装対象（F006）。,未
TR-FR-011,FR,P03,"F002,F005,F007","NFR-REL-004,NFR-UX-001",収入の追加：日付/カテゴリ/金額(整数)/メモを入力し保存できる。,Integration,Must,保存後、P02一覧・P04内訳・P05推移・P06CSVに反映される。,Yes/Partial,メモ機能は実装対象（F007）。,未
TR-FR-020,FR,"P02,P03","F008,F009,F010,F011",,取引一覧の表示と編集：一覧から取引を選択して編集画面を開き、変更を保存/キャンセルできる。,Integration,Must,保存で一覧/集計/CSVに更新反映、キャンセルで不変。,Yes/Partial,P03は追加/編集共通UI。,未
TR-FR-021,FR,P02,"F012,F013","NFR-UX-002,NFR-DATA-004",取引削除：削除前確認ダイアログを必須とし、削除後は完全削除される。,Integration,Must,確認でCancel時は不変、OK時はDBから削除され一覧/集計/CSVに反映される。,Yes/Partial,削除は復元不可（完全削除）。,未
TR-FR-030,FR,P01,"F041,F050",,年間スケジュールの編集により期間境界が正しく再計算される。,Unit+Integration,Must,編集後、期間カレンダー・内訳・推移の対象期間が一致する。,Yes/Partial,編集はP12の期間編集を対象。,未
TR-FR-031,FR,P01,"F045,F046",,期間カレンダー表示：期間色分けが表示され、期間境界が視認できる。,Widget,Should,期間の色分けが欠落せず、日付グリッドが表示される。,Yes/Partial,見た目の最終判断は手動確認も併用。,済
TR-FR-032,FR,P01,"F042,F047",,やりくり費：期間ごとに設定され、残額のみが表示される。,Unit+Integration,Must,期間支出に応じて残額が正しく変動し、表示が残額のみである。,Yes/Partial,設定変更は『以後の期間から適用』。,未
TR-FR-033,FR,P01,F048,,年間カレンダー表示：ホームに12か月分のカレンダーが表示される。,Widget,Must,12か月分の月ブロックが表示され、月名が識別できる。,Yes/Partial,見た目の最終判断は手動確認も併用。,未
TR-FR-034,FR,P12,F057,,年間スケジュール期間一覧の色分け：期間ごとにユニークな色で表示される。,Widget,Should,期間一覧の各期間がユニークな色で表示される。,Yes/Partial,配色の最終判断は手動確認も併用。,未
TR-FR-035,FR,P01,F050,,月次フィールド表示：各月に収入/固定費・特別費/やりくり費のフィールドが表示される。,Widget,Should,各月に3フィールドが表示され、表示欠けがない。,Yes/Partial,,未
TR-FR-036,FR,P01,"F051,F045,F046,F047",,年間/月間切替：切替操作で表示が切り替わり、月間カレンダーは現行の期間カレンダー仕様に一致する。,Integration,Must,切替後に年間/月間がそれぞれ表示され、月間は期間色分け・収支・残額表示が維持される。,Yes/Partial,月間表示は既存仕様に準拠。,未
TR-FR-037,FR,"P01,P12",F053,,ホームのカレンダーをタップすると年間スケジュールへ遷移できる。,Integration,Must,カレンダー領域のタップでP12へ遷移し、戻るとP01に復帰できる。,Yes/Partial,タップ対象はホームの期間カレンダー。,未
TR-FR-038,FR,P09,F042,,やりくり費設定画面で期間予算を設定でき、保存後にホームへ遷移する。,Widget,Must,入力した期間予算が保存され、保存後はホームへ遷移する。,Yes/Partial,設定値は settingsProvider に反映。,未
TR-FR-039,FR,"P01,P09",F054,,ホームのやりくり費をタップするとやりくり費設定画面へ遷移できる。,Integration,Must,やりくり費タップでP09へ遷移し、戻るとP01に復帰できる。,Yes/Partial,タップ対象はホームのやりくり費表示。,未
TR-FR-041,FR,P12,F055,,ボーナス月切替：ボーナス月をタップすると on/off 選択ポップアップが表示され、選択結果が反映される。,Widget,Must,ポップアップで on/off を選択でき、表示状態が更新される。,Yes/Partial,,未
TR-FR-042,FR,"P01,P12",F056,,期間数表示とホーム遷移制御：35日/42日の選択数が表示され、過不足時はホームに遷移できず警告が表示される。,Integration,Must,過不足時にホーム遷移が抑止され、警告が表示される。,Yes/Partial,,未
TR-FR-043,FR,P12,F058,,ボーナス月の色分け：月内の期間比率に応じて色分け表示される。,Widget,Should,比率に応じた色分けが表示される。,Yes/Partial,配色の最終判断は手動確認も併用。,未
TR-FR-044,FR,P01,F059,,（削除）ホームの説明表示。,Widget,Could,説明文が表示されない。,No/Partial,仕様変更により削除。,未
TR-FR-045,FR,P01,F045,,ホーム期間カレンダーの色適用：期間色はトップバーの〇期のみ適用される。,Widget,Should,〇期表示のみ期間色が適用され、カレンダー本体は無色である。,Yes/Partial,配色の最終判断は手動確認も併用。,済
TR-FR-046,FR,P01,F060,,ホーム期間番号表示：カレンダー上に〇期が表示される。,Widget,Should,現在の期間番号が表示される。,Yes/Partial,,未
TR-FR-047,FR,P01,F061,,収入期間表示：先月の月初?月末が表示される。,Widget,Should,先月の範囲が表示される。,Yes/Partial,,未
TR-FR-048,FR,P01,F062,,固定費・特別費期間表示：今月の月初?月末が表示される。,Widget,Should,今月の範囲が表示される。,Yes/Partial,,未
TR-FR-049,FR,P01,F063,,トップバー左アイコン表示：トップバー左にアイコンが表示される。,Widget,Should,アイコンが表示される。,Yes/Partial,,未
TR-FR-091,FR,P01,F064,,ホーム期間カレンダーの週順：今週が最上段に表示され、5週分が表示される。,Widget,Should,最上段が今週で、合計5週分が表示される。,Yes/Partial,,済
TR-FR-092,FR,P01,F065,,ホーム期間カレンダーの当日強調：当日が強調表示される。,Widget,Should,当日セルが強調表示される。,Yes/Partial,,済
TR-FR-093,FR,P01,F066,,ホームカレンダートップバー2列表示：左に〇期、右に収入/固定費・特別費/やりくり費が3行で表示される。,Widget,Should,2列・3行のフィールドが表示される。,Yes/Partial,,済
TR-FR-094,FR,P01,F044,,ホームのボーナス月表示削除：ボーナス月の表示がない。,Widget,Should,ホームにボーナス月の表示がない。,Yes/Partial,,済
TR-FR-040,FR,P04,"F014,F015,F019,F020",,内訳：収入/支出切替と支出属性フィルタによりカテゴリ内訳が正しく表示される。,Unit+Integration,Must,フィルタ条件に一致する取引のみで内訳・合計が一致。,Yes/Partial,週次内訳は削除のため対象外。,済
TR-FR-050,FR,P05,"F021,F022,F023,F024,F025,F026,F027,F028",,推移：月/週推移、表示期間切替、収入/支出/収支切替、属性フィルタ、棒グラフ表示が正しい。,Unit+Widget,Must,集計値とグラフ表示が一致し、切替で表示対象が正しく変わる。,Yes/Partial,,済
TR-FR-060,FR,P06,"F029,F030,F031,F032","NFR-DATA-005,NFR-SEC-004",CSVエクスポート：期間指定、列仕様、保存、共有が成立する。,Integration+Manual,Must,CSV列（日付/カテゴリ/収支/金額/属性）が仕様通りで、保存/共有ができる。,Yes/Partial,共有はOS依存のため手動確認併用。,未
TR-FR-070,FR,P07,F035,NFR-DATA-003,カテゴリ管理：追加/編集/削除ができ、削除時は関連取引が未分類へ置換される。,Integration,Must,カテゴリ操作が入力/集計/CSVに反映。削除後も参照整合が崩れない。,Yes/Partial,収入カテゴリと支出カテゴリは完全に分離。,未
TR-FR-080,FR,P08,F036,"NFR-NOTIF-001,NFR-NOTIF-002,NFR-REL-003",リマインダー：曜日指定/複数時刻/複数件を設定でき、権限拒否でも破綻しない。,Manual(実機),Could,指定条件で通知が発火し、重複しない。権限拒否時は案内が表示される。,No/Partial,通知文言は固定。 初期リリース対象外（F036）。,未
TR-FR-090,FR,P01,"F043,F044",,ボーナス：ボーナス月表示とカウントダウンが表示される。,Widget+Integration,Could,表示が反映される。,Yes/Partial,『ボーナス収入』の概念は無し（ユーザー回答）。,未
TR-NFR-PERF-001,NFR,P01,,NFR-PERF-001,通常起動（コールドスタート）後にホーム（P01）が快適に表示されること。,Performance,Must,Release相当で起動?P01初期表示まで3秒以内（代表端末）。,Yes/Partial,Debug計測は参考値。,未
TR-NFR-PERF-002,NFR,"P01,P02,P03,P04,P05,P10",,NFR-PERF-002,ボトムバータブ切替（P01/P02/P03/P04/P05）および設定（P10）の表示が待たされないこと。,Performance,Must,タブ切替?主要コンテンツ描画完了まで300ms以内（通常データ量）。,No/Partial,補足: P10はトップバーから遷移。,未
TR-NFR-PERF-003,NFR,P02,,NFR-PERF-003,取引一覧（P02）のスクロールがカクつかないこと。,Performance,Must,期間内取引1000件で実用上の引っかかりがない（目標: 60fps相当）。,Yes/Partial,件数は最大想定で調整可。,未
TR-NFR-PERF-004,NFR,"P04,P05",,NFR-PERF-004,内訳（P04）/推移（P05）の集計が実用的な時間で完了すること。,Performance,Must,期間集計および週集計の更新が500ms以内（最大データ量）。,No/Partial,,未
TR-NFR-PERF-005,NFR,"P06,F029-F032",,NFR-PERF-005,CSVエクスポートが待てる時間で完了すること。,Performance,Should,取引2000件のCSV生成が2秒以内。,No/Partial,共有処理はOS依存。,未
TR-NFR-PERF-006,NFR,全画面,,NFR-PERF-006,連続操作（タブ切替、一覧スクロール、グラフ表示）でメモリリーク相当の増加がないこと。,Performance,Should,10分連続操作でメモリ使用量が安定し、OOM/クラッシュしない。,No/Partial,,未
TR-NFR-REL-001,NFR,全機能,,NFR-REL-001,ネットワークが無くても主要機能が成立すること。,Integration+Manual,Must,機内モードで入力/編集/集計/カテゴリ管理/CSV生成/設定が完走する。,No/Partial,,未
TR-NFR-REL-002,NFR,"DB, F001-F013,F035",,NFR-REL-002,DB書き込み中の異常終了でもデータ破損しないこと。,Integration+Manual,Must,強制終了後に起動でき、直近操作が保存済/未保存で矛盾しない。,Partial,,未
TR-NFR-REL-003,NFR,"P08,F036",,NFR-REL-003,通知権限が拒否されてもアプリが破綻しないこと。,Integration+Manual,Could,権限拒否状態でもP08表示・設定操作が可能で、案内が表示される。,Partial,初期リリース対象外（F036 / P08）。,未
TR-NFR-REL-004,NFR,"P03,F001-F005",,NFR-REL-004,不正入力でクラッシュしないこと（例: 金額空欄、巨大値）。,Integration+Manual,Must,不正入力はエラー表示で抑止され、クラッシュしない。,Yes/Partial,金額は整数のみ。,済
TR-NFR-REL-005,NFR,全画面,,NFR-REL-005,想定外エラー時にユーザーが復帰できる導線を提供すること。,Integration+Manual,Should,致命的でないエラーはダイアログ/スナックバーで通知し、再試行/戻るが可能。,No/Partial,,未
TR-NFR-DATA-001,NFR,F001-F047,,NFR-DATA-001,取引/カテゴリ/設定/リマインダー/ボーナス等が再起動後も保持されること。,Data+Integration,Must,各データの追加・変更後、アプリ再起動しても内容が維持される。,Partial,,未
TR-NFR-DATA-002,NFR,DB,,NFR-DATA-002,アプリ更新でDBスキーマが変わってもユーザーデータが失われないこと。,Data+Integration,Must,schemaVersion更新時にマイグレーションが定義され、旧DBから起動できる。,Partial,,済
TR-NFR-DATA-003,NFR,"P07,F035",,NFR-DATA-003,カテゴリ削除時、既存取引は「未分類」に置換されること。,Data+Integration,Must,カテゴリ削除後も一覧/集計で例外が出ず、未分類として表示・集計される。,No/Partial,収入/支出カテゴリは分離。,未
TR-NFR-DATA-004,NFR,"P02,F012,F013",,NFR-DATA-004,取引削除は完全削除であり、復元機能は持たないこと。,Data+Integration,Must,削除後はDBから消え、一覧/集計/CSVに反映されない。,Yes/Partial,,済
TR-NFR-DATA-005,NFR,"P06,F029-F032",,NFR-DATA-005,CSVは指定期間のデータを正しく出力すること。,Data+Integration,Must,"DBの対象期間レコードとCSVの件数・内容が一致する（列: 日付,カテゴリ,収支,金額,属性）。",Yes/Partial,金額は整数。,未
TR-NFR-DATA-006,NFR,全機能,,NFR-DATA-006,データ量が増えてもアプリが破綻しないこと。,Data+Integration,Should,取引2万件、カテゴリ200件、リマインダー50件で起動/一覧/集計が可能。,No/Partial,上限は運用で調整。,未
TR-NFR-DATA-007,NFR,運用ドキュメント,,NFR-DATA-007,端末機種変更時の移行/バックアップ方針を明記すること。,Data+Integration,TBD,バックアップ可否、方法（OSバックアップ等）がドキュメント化されている。,No/Partial,TBD（今回対象外）。アプリ内エクスポート無しの場合はその旨を明確化。,未
TR-NFR-SEC-001,NFR,全機能,,NFR-SEC-001,家計データを外部に送信しない（ローカル完結）こと。,Security/Review,Must,通常操作で外部通信が発生しない（解析SDK等含む）。,No/Partial,F034の挙動は別途確定。,済
TR-NFR-SEC-002,NFR,"P10,F034",,NFR-SEC-002,データ共有（F034）OFF時は外部送信が絶対に発生しないこと。,Security/Review,TBD,OFF状態で通信がゼロ。ON状態でも現段階では送信しない（将来拡張を除く）。,No/Partial,TBD（今回対象外）。仕様確定後に差し替え。,未
TR-NFR-SEC-003,NFR,全機能,,NFR-SEC-003,ログに個人情報（取引メモ、金額、カテゴリ名等）を出さないこと。,Security/Review,Must,例外ログに取引内容が含まれない。,No/Partial,,済
TR-NFR-SEC-004,NFR,"P06,F032",,NFR-SEC-004,CSV共有は外部アプリに渡る可能性があるため注意喚起すること。,Security/Review,Should,共有前に確認ダイアログを表示し、キャンセル可能。,Partial,,未
