ID,カテゴリ,サブカテゴリ,要件,対象,合格基準,測定方法,優先度,備考
NFR-PERF-001,性能・応答性,起動,通常起動（コールドスタート）後にホーム（P01）が快適に表示されること。,P01,Release相当で起動〜P01初期表示まで3秒以内（代表端末）。,integration_test + 実機計測（Android/iOS）。,Must,Debug計測は参考値。
NFR-PERF-002,性能・応答性,画面遷移,ボトムバータブ切替（P01/P02/P03/P04/P05）および設定（P10）の表示が待たされないこと。,"P01,P02,P03,P04,P05,P10",タブ切替〜主要コンテンツ描画完了まで300ms以内（通常データ量）。,Profile計測（frame timing）+ 実機確認。,Must,補足: P10はトップバーから遷移。
NFR-PERF-003,性能・応答性,一覧スクロール,取引一覧（P02）のスクロールがカクつかないこと。,P02,期間内取引1000件で実用上の引っかかりがない（目標: 60fps相当）。,Performance overlay + 実機で長スクロール試験。,Must,件数は最大想定で調整可。
NFR-PERF-004,性能・応答性,集計（内訳/推移）,内訳（P04）/推移（P05）の集計が実用的な時間で完了すること。,"P04,P05",期間集計および週集計の更新が500ms以内（最大データ量）。,計測ログ + テストデータ投入 + 実機確認。,Must,
NFR-PERF-005,性能・応答性,CSV出力,CSVエクスポートが待てる時間で完了すること。,"P06,F029-F032",取引2000件のCSV生成が2秒以内。,実機計測 + 出力ファイル検証。,Should,共有処理はOS依存。
NFR-PERF-006,性能・応答性,メモリ/GC,連続操作（タブ切替、一覧スクロール、グラフ表示）でメモリリーク相当の増加がないこと。,全画面,10分連続操作でメモリ使用量が安定し、OOM/クラッシュしない。,DevTools/OSメモリ監視 + 実機。,Should,
NFR-REL-001,信頼性,オフライン動作,ネットワークが無くても主要機能が成立すること。,全機能,機内モードで入力/編集/集計/カテゴリ管理/CSV生成/設定が完走する。,実機で機内モード試験。,Must,
NFR-REL-002,信頼性,DB整合性,DB書き込み中の異常終了でもデータ破損しないこと。,"DB, F001-F013,F035",強制終了後に起動でき、直近操作が保存済/未保存で矛盾しない。,疑似クラッシュ試験（kill）+ 再起動後整合チェック。,Must,
NFR-REL-003,信頼性,通知権限,通知権限が拒否されてもアプリが破綻しないこと。,"P08,F036",権限拒否状態でもP08表示・設定操作が可能で、案内が表示される。,権限拒否/許可の切替試験。,Could,初期リリース対象外（F036 / P08）。
NFR-REL-004,信頼性,入力バリデーション,不正入力でクラッシュしないこと（例: 金額空欄、巨大値）。,"P03,F001-F005",不正入力はエラー表示で抑止され、クラッシュしない。,フォームのユニット/Widgetテスト。,Must,金額は整数のみ。
