category_id,type,name,sort_order,is_default,is_deletable,note
E000,expense,未分類,0,True,False,カテゴリ削除時の置換先
E001,expense,食費,10,True,True,
E002,expense,日用品,20,True,True,
E003,expense,美容,30,True,True,
E004,expense,衣服,40,True,True,
E005,expense,交際費,50,True,True,
E006,expense,医療費,60,True,True,
E007,expense,教育費,70,True,True,
E008,expense,光熱費,80,True,True,
E009,expense,交通費,90,True,True,
E010,expense,通信費,100,True,True,
E011,expense,住居費,110,True,True,
E900,expense,ボーナス支出,1000,True,False,ボーナス月の支出、およびボーナス残高からの支出を記録する専用カテゴリ。
I000,income,未分類,0,True,False,カテゴリ削除時の置換先
I001,income,給料,10,True,True,
I002,income,おこづかい,20,True,True,
I003,income,賞与,30,True,True,
I004,income,副業,40,True,True,
I005,income,投資,50,True,True,配当/利息など
I006,income,臨時収入,60,True,True,ギフト等
